Compound Name,Molecular Formula,SMILES,P（蛋白质）,对接分数,PDB id,选取链条,Select parameters
Tumulosic acid,C31H50O4,CC(C)C(=C)CC[C@H]([C@H]1[C@@H](C[C@@]2([C@@]1(CCC3=C2CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C)O)C(=O)O,CXCL8,-6.7155,6LFM ,R-C-X-C chemokine receptor type 2,5
Liensinine,C37H42N2O6,CN1CCC2=CC(=C(C=C2[C@H]1CC3=CC=C(C=C3)O)OC4=C(C=CC(=C4)C[C@@H]5C6=CC(=C(C=C6CCN5C)OC)OC)O)OC,CXCL8,-6.8108,6LFM ,R-C-X-C chemokine receptor type 2,5
Genistein,C15H12O5,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,CXCL8,-6.8319,6LFM ,R-C-X-C chemokine receptor type 2,5
Dehydrotumulosic acid,C31H48O4,CC(C)C(=C)CC[C@H]([C@H]1[C@@H](C[C@@]2([C@@]1(CC=C3C2=CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C)O)C(=O)O,CXCL8,-7.0423,6LFM ,R-C-X-C chemokine receptor type 2,5
Phenylacetic acid,C8H8O2,C1=CC=C(C=C1)CC(=O)O,CXCL8,-5.7613,6LFM ,R-C-X-C chemokine receptor type 2,5
Astragaloside II,C43H70O15,CC(=O)O[C@@H]1[C@H]([C@@H](CO[C@H]1O[C@H]2CC[C@]34C[C@]35CC[C@@]6([C@H]([C@H](C[C@]6([C@@H]5C[C@@H]([C@H]4C2(C)C)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)C)O)[C@]8(CC[C@H](O8)C(C)(C)O)C)C)O)O,CXCL8,-6.7768,6LFM ,R-C-X-C chemokine receptor type 2,5
Astragalus A,C10H11NO4,,,,,,
Quercetin,C15H10O7,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,CXCL8,-6.9014,6LFM ,R-C-X-C chemokine receptor type 2,5
Kaempferol,C15H10O6,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,CXCL8,-6.5738,6LFM ,R-C-X-C chemokine receptor type 2,5
Kaempferol,C15H10O6,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,,,,,
Oleracein B,C25H27NO12,COC1=C(C=CC(=C1)/C=C/C(=O)N2[C@@H](CC3=CC(=C(C=C32)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)C(=O)O)O,CXCL8,-7.3479,6LFM ,R-C-X-C chemokine receptor type 2,5
5-Methyl-7-methoxyisoflavone,C17H14O3,CC1=CC(=CC2=C1C(=O)C(=CO2)C3=CC=CC=C3)OC,CXCL8,-6.6709,6LFM ,R-C-X-C chemokine receptor type 2,5
"2'-Hydroxy-7,3',4-trimethoxyisoflavone",C18H20O5,,,,,,
Poricoic acid A,C31H46O5,CC(C)C(=C)CC[C@H]([C@H]1[C@@H](C[C@@]2([C@@]1(CC=C3C2=CC[C@H]([C@]3(C)CCC(=O)O)C(=C)C)C)C)O)C(=O)O,CXCL8,-7.8245,6LFM ,R-C-X-C chemokine receptor type 2,5
Pachymic acid,C33H52O5,CC(C)C(=C)CC[C@H]([C@H]1[C@@H](C[C@@]2([C@@]1(CCC3=C2CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)OC(=O)C)C)C)C)O)C(=O)O,CXCL8,-6.0829,6LFM ,R-C-X-C chemokine receptor type 2,5
Astragalus E,C14H16N2O5,,,,,,
Astragalus membranaceus stem saponin A,C36H58O10,,,,,,
Licoricone,C22H22O6,CC(=CCC1=C(C=C(C(=C1OC)C2=COC3=C(C2=O)C=CC(=C3)O)O)OC)C,CXCL8,-7.0539,6LFM ,R-C-X-C chemokine receptor type 2,5
Dehydrotrametenolic acid,C30H46O3,CC(=CCC1=C(C=C(C(=C1OC)C2=COC3=C(C2=O)C=CC(=C3)O)O)OC)C,CXCL8,-7.4352,6LFM ,R-C-X-C chemokine receptor type 2,5
