Compound Name,Molecular Formula,SMILES,P,对接分数（8WE3),2Q9S(2007年）,2QM9（2007年）A链,2QM9（2007年）B链
Astragaloside II,C43H70O15,CC(=O)O[C@@H]1[C@H]([C@@H](CO[C@H]1O[C@H]2CC[C@]34C[C@]35CC[C@@]6([C@H]([C@H](C[C@]6([C@@H]5C[C@@H]([C@H]4C2(C)C)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)C)O)[C@]8(CC[C@H](O8)C(C)(C)O)C)C)O)O,FABP4,×,×,×,44.4215
Astragalus A,C10H11NO4,,,,,,
Quercetin,C15H10O7,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,FABP4,-6.3783,-3.521,×,-4.3033
Kaempferol,C15H10O6,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,FABP4,-6.2658,-4.503,×,-4.2049
Kaempferol,C15H10O6,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,,,,,
Oleracein B,C25H27NO12,COC1=C(C=CC(=C1)/C=C/C(=O)N2[C@@H](CC3=CC(=C(C=C32)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)C(=O)O)O,FABP4,-7.0209,-5.8387,×,-6.4629
5-Methyl-7-methoxyisoflavone,C17H14O3,CC1=CC(=CC2=C1C(=O)C(=CO2)C3=CC=CC=C3)OC,FABP4,-6.2514,-6.3851,×,-3.6856
"2'-Hydroxy-7,3',4-trimethoxyisoflavone",C18H20O5,,,,,,
Poricoic acid A,C31H46O5,CC(C)C(=C)CC[C@H]([C@H]1[C@@H](C[C@@]2([C@@]1(CC=C3C2=CC[C@H]([C@]3(C)CCC(=O)O)C(=C)C)C)C)O)C(=O)O,FABP4,-6.5192,-6.8742,×,18.5557
Pachymic acid,C33H52O5,CC(C)C(=C)CC[C@H]([C@H]1[C@@H](C[C@@]2([C@@]1(CCC3=C2CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)OC(=O)C)C)C)C)O)C(=O)O,FABP4,-6.9037,-6.5348,×,20.313
Astragalus E,C14H16N2O5,,,,,,
Astragalus membranaceus stem saponin A,C36H58O10,,,,,,
Licoricone,C22H22O6,CC(=CCC1=C(C=C(C(=C1OC)C2=COC3=C(C2=O)C=CC(=C3)O)O)OC)C,FABP4,-6.6858,-6.8821,×,-2.2218
Dehydrotrametenolic acid,C30H46O3,CC(=CCC[C@H]([C@H]1CC[C@@]2([C@@]1(CC=C3C2=CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C)C(=O)O)C,FABP4,-6.5052,×,×,12.8061
Poricoic acid AM,C32H48O5,CC(C)C(=C)CC[C@H]([C@H]1[C@@H](C[C@@]2([C@@]1(CC=C3C2=CC[C@H]([C@]3(C)CCC(=O)OC)C(=C)C)C)C)O)C(=O)O,FABP4,-6.5573,×,×,17.5095
Benzoic acid,C7H6O2,C1=CC=C(C=C1)C(=O)O,FABP4,-5.9863,-5.9659,×,-6.1163
psoralen,C11H6O3,C1=CC(=O)OC2=CC3=C(C=CO3)C=C21,FABP4,-5.9818,-6.012,×,-5.1117
Astragalus D,C12H15NO5,,,,,,
Agroastragaloside Ⅳ,C49H80O20,,,,,,
Luteolin,C15H10O6,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,FABP4,-6.2369,-6.005,×,-4.2633
Luteolin,C15H10O6,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,,,,,
3-Methoxy-4-Hydroxybenzoic acid,C8H8O4,COC1=C(C=CC(=C1)C(=O)O)O,FABP4,-6.6869,-6.1051,×,-6.4324
Limonin,C26H30O8,C[C@@]12CC[C@H]3[C@]([C@@]14[C@H](O4)C(=O)O[C@H]2C5=COC=C5)(C(=O)C[C@@H]6[C@@]37COC(=O)C[C@@H]7OC6(C)C)C,FABP4,-6.5115,-7.1673,×,7.2323
Isoquercitroside,C21H20O12,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@H](O4)[C@@H](CO)O)O)O)O)O,FABP4,-6.8491,1.448,×,-3.7301
Diammonium glycyrrhizinate,C42H68N2O16,C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)O)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)O)O)O)O)C)(C)C(=O)O.N.N,FABP4,×,×,×,82.7678
"3 ',4 '-dimethoxy-7,2' -diglucose isoflavanside",C29H38O15,,,,,,
Dopa,C9H11NO4,"C1=CC(=C(C=C1C[C@@H](C(=O)O)N)O)O
C1=CC(=C(C=C1CC(C(=O)O)N)O)O
C1=CC(=C(C=C1C[C@H](C(=O)O)N)O)O",FABP4,-6.9219,-6.4018,×,-6.3679
(+)-Syringaresinol,C22H26O8,COC1=CC(=CC(=C1O)OC)[C@@H]2[C@H]3CO[C@@H]([C@H]3CO2)C4=CC(=C(C(=C4)OC)O)OC,FABP4,-7.3627,-6.6879,×,-1.686
Nerolic acid,C10H16O2,CC(=CCC/C(=C\C(=O)O)/C)C,FABP4,-6.315,-6.2439,×,-5.8288
,,,,8WE3,,,
,,,,-6.517890909,,,
